/coord ( 27.1  , 34.0 ) : Garlemald
/coord ( 12.2  , 12.5 ) : Garlemald
/coord ( 32.5  , 32.2 ) : Garlemald
/coord ( 32.4  , 21.6 ) : Garlemald
/coord ( 33.1  , 22.1 ) : Garlemald
/coord ( 9.4  , 11.5 ) : Garlemald
/coord ( 24.1  , 33.3 ) : Mare Lamentorum
/coord ( 24.2  , 23.2 ) : Mare Lamentorum
/coord ( 28.1  , 26.5 ) : Mare Lamentorum
/coord ( 10.1  , 23.8 ) : Mare Lamentorum
/coord ( 28.2  , 26.5 ) : Mare Lamentorum
/coord ( 10.2  , 23.9 ) : Mare Lamentorum
/coord ( 18.1  , 23.5 ) : Thavnair
/coord ( 29.7  , 13.4 ) : Thavnair
/coord ( 17.6  , 16.1 ) : Thavnair
/coord ( 26.6  , 20.6 ) : Thavnair
/coord ( 29.7  , 13.7 ) : Thavnair
/coord ( 17.6  , 16.3 ) : Thavnair
/coord ( 17.6  , 29.8 ) : Elpis
/coord ( 34.0  , 10.6 ) : Elpis
/coord ( 18.1  , 30.2 ) : Elpis
/coord ( 29.0  , 27.8 ) : Elpis
/coord ( 12.3  , 9.9 ) : Elpis
/coord ( 13.1  , 32.3 ) : Elpis
/coord ( 10.1  , 19.5 ) : Labyrinthos
/coord ( 19.5  , 38.5 ) : Labyrinthos
/coord ( 10.9  , 19.1 ) : Labyrinthos
/coord ( 11.9  , 35.3 ) : Labyrinthos
/coord ( 25.6  , 24.8 ) : Labyrinthos
/coord ( 32.0  , 25.8 ) : Labyrinthos
/coord ( 8.6  , 20.2 ) : Ultima Thule
/coord ( 27.7  , 12.3 ) : Ultima Thule
/coord ( 19.1  , 9.6 ) : Ultima Thule
/coord ( 15.8  , 26.1 ) : Ultima Thule
/coord ( 12.0  , 21.7 ) : Ultima Thule
/coord ( 8.1  , 20.3 ) : Ultima Thule
